mode,availability,source_pu,source_vuf_percent,termination,accepted,exact_residual_A
unity,0.0,1.0,1.0,LOCALLY_SOLVED,true,0.0
mean_vv,0.0,1.0,1.0,LOCALLY_SOLVED,true,2.6308394918663204e-5
mean_vv_vw,0.0,1.0,1.0,LOCALLY_SOLVED,true,2.630839493411306e-5
worst_vv_vw,0.0,1.0,1.0,LOCALLY_SOLVED,true,0.001735575211809977
sequence_vv_vw,0.0,1.0,1.0,LOCALLY_SOLVED,true,2.626244051559813e-5
sequence_droop,0.0,1.0,1.0,LOCALLY_SOLVED,true,0.00016054770078665774
unity,0.5,1.0,1.0,LOCALLY_SOLVED,true,8.944362215947339e-5
mean_vv,0.5,1.0,1.0,LOCALLY_SOLVED,true,9.401019972038167e-5
mean_vv_vw,0.5,1.0,1.0,LOCALLY_SOLVED,true,9.401019972310688e-5
worst_vv_vw,0.5,1.0,1.0,LOCALLY_SOLVED,true,0.0016881627046204716
sequence_vv_vw,0.5,1.0,1.0,LOCALLY_SOLVED,true,9.399650298448495e-5
sequence_droop,0.5,1.0,1.0,LOCALLY_SOLVED,true,0.00022085323300751226
unity,1.0,1.0,1.0,LOCALLY_SOLVED,true,0.00017865062388111352
mean_vv,1.0,1.0,1.0,LOCALLY_SOLVED,true,0.00018149482610391548
mean_vv_vw,1.0,1.0,1.0,LOCALLY_SOLVED,true,0.00018149482610422117
worst_vv_vw,1.0,1.0,1.0,LOCALLY_SOLVED,true,0.0016708123708224268
sequence_vv_vw,1.0,1.0,1.0,LOCALLY_SOLVED,true,0.00018148662695191694
sequence_droop,1.0,1.0,1.0,LOCALLY_SOLVED,true,0.00029448325847622676
unity,0.0,1.03,1.0,LOCALLY_SOLVED,true,0.0
mean_vv,0.0,1.03,1.0,LOCALLY_SOLVED,true,7.625587782795285e-5
mean_vv_vw,0.0,1.03,1.0,LOCALLY_SOLVED,true,7.625587782857023e-5
worst_vv_vw,0.0,1.03,1.0,LOCALLY_SOLVED,true,0.0009508173944141623
sequence_vv_vw,0.0,1.03,1.0,LOCALLY_SOLVED,true,7.620984002093007e-5
sequence_droop,0.0,1.03,1.0,LOCALLY_SOLVED,true,0.0002138302120392713
unity,0.5,1.03,1.0,LOCALLY_SOLVED,true,8.684105512890595e-5
mean_vv,0.5,1.03,1.0,LOCALLY_SOLVED,true,0.00011705068826755989
mean_vv_vw,0.5,1.03,1.0,LOCALLY_SOLVED,true,0.00010918319749504548
worst_vv_vw,0.5,1.03,1.0,LOCALLY_SOLVED,true,0.0012417420554574345
sequence_vv_vw,0.5,1.03,1.0,LOCALLY_SOLVED,true,0.0007836731644129885
sequence_droop,0.5,1.03,1.0,LOCALLY_SOLVED,true,0.0010049378967029606
unity,1.0,1.03,1.0,LOCALLY_SOLVED,true,0.00017346523079584547
mean_vv,1.0,1.03,1.0,LOCALLY_SOLVED,true,0.00019173269817396709
mean_vv_vw,1.0,1.03,1.0,LOCALLY_SOLVED,true,0.00016804743738809804
worst_vv_vw,1.0,1.03,1.0,LOCALLY_SOLVED,true,0.0018960600130654276
sequence_vv_vw,1.0,1.03,1.0,LOCALLY_SOLVED,true,0.0016187874908967354
sequence_droop,1.0,1.03,1.0,LOCALLY_SOLVED,true,0.001873641336993928
