mode,availability,source_pu,source_vuf_percent,customer,bus,phase,original_phase_voltage_V,customer_voltage_V,customer_vmin_V,va_pn_V,vb_pn_V,vc_pn_V,neutral_V,vuf_percent,vmax_pg_V,vmax_pn_V
unity,0.0,1.0,1.0,ld1291_load_b,b828,b,245.01212617598094,245.01212617598094,241.49770020824312,244.5598388718056,245.01212617598094,241.49770020824312,0.09699217440341043,0.9796132360813657,244.9994895213981,245.01212617598094
unity,0.0,1.0,1.0,ld1446_load_c,b260,c,241.51253364622255,245.01857300459608,241.51253364622255,244.43124954709864,245.01857300459608,241.51253364622255,0.14712445060596524,0.9729568048594367,244.98067712119723,245.01857300459608
unity,0.0,1.0,1.0,ld1668_load_a,b605,a,244.5514440356245,245.039768598578,241.4895517582066,244.5514440356245,245.039768598578,241.4895517582066,0.09723514735867327,0.9764715231061989,245.0087061953823,245.039768598578
unity,0.0,1.0,1.0,ld1895_load_b,b1804,b,245.03177608767783,245.03177608767783,241.55442422046534,244.08142930906735,245.03177608767783,241.55442422046534,0.28832814455071076,0.9555711393476839,244.9255977255278,245.03177608767783
unity,0.0,1.0,1.0,ld1970_load_c,b2492,c,241.56895801279444,245.01662029937316,241.56895801279444,244.0093325671884,245.01662029937316,241.56895801279444,0.3178377383814328,0.9537852470884618,244.90788296216178,245.01662029937316
unity,0.0,1.0,1.0,ld2050_load_a,b1821,a,244.15498491420132,245.02370133754067,241.54733176024126,244.15498491420132,245.02370133754067,241.54733176024126,0.2583762084109715,0.9597070739789747,244.93572432377476,245.02370133754067
unity,0.0,1.0,1.0,ld2186_load_b,b1754,b,245.02135537730348,245.02135537730348,241.56982579731277,243.9907289360789,245.02135537730348,241.56982579731277,0.3250093390487653,0.9524483037459214,244.9073040540382,245.02135537730348
unity,0.0,1.0,1.0,ld248_load_b,b2560,b,245.02905032524993,245.02905032524993,241.50242042898304,244.48133614256827,245.02905032524993,241.50242042898304,0.12612833788785852,0.974252478259949,244.9930332111724,245.02905032524993
unity,0.0,1.0,1.0,ld24_load_a,b1044,a,244.2282502272933,245.02782775406217,241.5362966366171,244.2282502272933,245.02782775406217,241.5362966366171,0.22875952797860333,0.9626794876971289,244.94903368891843,245.02782775406217
unity,0.0,1.0,1.0,ld2804_load_c,b2443,c,241.54110324687593,245.02282969201028,241.54110324687593,244.2044276548023,245.02282969201028,241.54110324687593,0.23856935150791572,0.9620783148523524,244.943170052534,245.02282969201028
unity,0.0,1.0,1.0,ld626_load_c,b2055,c,241.5740197873165,245.01990738771656,241.5740197873165,243.9626196876332,245.01990738771656,241.5740197873165,0.3364330388037373,0.951316459556838,244.90206037305634,245.01990738771656
unity,0.0,1.0,1.0,ld868_load_a,b2190,a,244.13671393958853,245.01986570018084,241.55101504135118,244.13671393958853,245.01986570018084,241.55101504135118,0.26589865064364054,0.9592494418523816,244.93123118276122,245.01986570018084
mean_vv,0.0,1.0,1.0,ld1291_load_b,b828,b,244.99066386364822,244.99066386364822,241.48081462652294,244.54382382432777,244.99066386364822,241.48081462652294,0.09694239835648145,0.9802056628920562,244.97897504335464,244.99066386364822
mean_vv,0.0,1.0,1.0,ld1446_load_c,b260,c,241.4849190846263,244.98351695541956,241.4849190846263,244.40466356640798,244.98351695541956,241.4849190846263,0.14616565390548797,0.9740082263552902,244.94933108035855,244.98351695541956
mean_vv,0.0,1.0,1.0,ld1668_load_a,b605,a,244.52721479607575,245.00796229393967,241.46444698618484,244.52721479607575,245.00796229393967,241.46444698618484,0.09623727477500187,0.9774219958340091,244.98003689640643,245.00796229393967
mean_vv,0.0,1.0,1.0,ld1895_load_b,b1804,b,244.9605345005344,244.9605345005344,241.49837255076758,244.02684144923802,244.9605345005344,241.49837255076758,0.2842016317083512,0.9578835481917102,244.86546785351342,244.9605345005344
mean_vv,0.0,1.0,1.0,ld1970_load_c,b2492,c,241.51207357291125,244.944284282655,241.51207357291125,243.9539869170406,244.944284282655,241.51207357291125,0.31394133623905524,0.956135421083185,244.84681549294328,244.944284282655
mean_vv,0.0,1.0,1.0,ld2050_load_a,b1821,a,244.10786252349035,244.9620885748265,241.4988402558299,244.10786252349035,244.9620885748265,241.4988402558299,0.2552311781085104,0.9616772875009404,244.8832260177168,244.9620885748265
mean_vv,0.0,1.0,1.0,ld2186_load_b,b1754,b,244.94595772972087,244.94595772972087,241.51051720289607,243.9329835867813,244.94595772972087,241.51051720289607,0.320763264792092,0.954909118010418,244.84380975815031,244.94595772972087
mean_vv,0.0,1.0,1.0,ld248_load_b,b2560,b,244.9947864086518,244.9947864086518,241.4754078496624,244.455288993334,244.9947864086518,241.4754078496624,0.12510058889305345,0.9752816216010513,244.96236272970037,244.9947864086518
mean_vv,0.0,1.0,1.0,ld24_load_a,b1044,a,244.1848941437575,244.97112096443027,241.4916580898468,244.1848941437575,244.97112096443027,241.4916580898468,0.22593855038607166,0.9644781620442898,244.90046711745026,244.97112096443027
mean_vv,0.0,1.0,1.0,ld2804_load_c,b2443,c,241.4961847899437,244.96575479040598,241.4961847899437,244.16081857866934,244.96575479040598,241.4961847899437,0.2358143670881868,0.9638887193091717,244.89428873887755,244.96575479040598
mean_vv,0.0,1.0,1.0,ld626_load_c,b2055,c,241.5131530434905,244.9425205773909,241.5131530434905,243.90334798904587,244.9425205773909,241.5131530434905,0.332050847366268,0.9538489427777753,244.8369750497394,244.9425205773909
mean_vv,0.0,1.0,1.0,ld868_load_a,b2190,a,244.08939861667437,244.95797294978271,241.50231057903392,244.08939861667437,244.95797294978271,241.50231057903392,0.26280390191128467,0.9612288087727046,244.87849331397035,244.95797294978271
mean_vv_vw,0.0,1.0,1.0,ld1291_load_b,b828,b,244.99066386364822,244.99066386364822,241.48081462652297,244.54382382432775,244.99066386364822,241.48081462652297,0.09694239835649583,0.9802056628920562,244.97897504335464,244.99066386364822
mean_vv_vw,0.0,1.0,1.0,ld1446_load_c,b260,c,241.4849190846263,244.98351695541956,241.4849190846263,244.40466356640798,244.98351695541956,241.4849190846263,0.14616565390550204,0.9740082263552902,244.94933108035855,244.98351695541956
mean_vv_vw,0.0,1.0,1.0,ld1668_load_a,b605,a,244.52721479607573,245.00796229393967,241.46444698618484,244.52721479607573,245.00796229393967,241.46444698618484,0.09623727477501591,0.9774219958340132,244.98003689640643,245.00796229393967
mean_vv_vw,0.0,1.0,1.0,ld1895_load_b,b1804,b,244.9605345005344,244.9605345005344,241.4983725507676,244.02684144923802,244.9605345005344,241.4983725507676,0.2842016317083655,0.9578835481917101,244.86546785351342,244.9605345005344
mean_vv_vw,0.0,1.0,1.0,ld1970_load_c,b2492,c,241.51207357291122,244.944284282655,241.51207357291122,243.95398691704062,244.944284282655,241.51207357291122,0.3139413362390695,0.9561354210831847,244.84681549294328,244.944284282655
mean_vv_vw,0.0,1.0,1.0,ld2050_load_a,b1821,a,244.10786252349038,244.9620885748265,241.49884025582986,244.10786252349038,244.9620885748265,241.49884025582986,0.25523117810852386,0.9616772875009366,244.8832260177168,244.9620885748265
