mode,availability,source_pu,device_id,bus,positive_sequence_policy,unbalance_policy,current_target,termination_status,publishable,p_available_W,p_rated_W,q_scale_var,p_poc_W,q_poc_var,p_converter_W,q_converter_var,converter_loss_W,voltage_min_V,voltage_max_V,zero_sequence_voltage_V,positive_sequence_voltage_V,negative_sequence_voltage_V,voltage_unbalance_factor,regularized_voltage_unbalance,requested_p_W,requested_q_var,command_curtailment_W,poc_active_power_shortfall_W,power_scale,current_scale,apparent_power_rating_VA,converter_current_rating_A,grid_current_rating_A,maximum_converter_current_A,maximum_grid_current_A,maximum_converter_total_current_A,maximum_grid_total_current_A,converter_current_utilization,grid_current_utilization,positive_sequence_current_A,negative_sequence_current_A,negative_sequence_current_angle_rad,peak_phase_to_positive_current_ratio,ripple_power_VA,dc_ripple_voltage_V,dc_capacitance_F,dc_nominal_voltage_V,dc_stored_energy_J,capacitor_current_A,capacitor_thermal_current_A,capacitor_current_utilization,dc_ripple_utilization,exact_smooth_current_residual_A
unity,0.0,1.0,pv_ld1291_load_b,b828,AverageVoltageVoltVarWatt,NoUnbalanceControl,GridCurrentTarget,LOCALLY_SOLVED,true,0.0,6000.0,6000.0,4.92703749558883e-10,5.758283543115966e-10,4.92703749558887e-10,5.758283543116017e-10,0.0,241.41999036560742,245.0014370533354,0.17202997536943487,243.68304839133177,2.3871513961280133,0.009796132360813526,0.0,0.0,0.0,0.0,-4.92703749558883e-10,0.9999999999999993,0.9999738085979717,6000.0,10.0,NaN,1.0604616790428794e-12,1.0604616790428794e-12,1.0604616790428794e-12,1.0604616790428794e-12,1.0604616790428794e-13,NaN,1.0368687581582757e-12,3.0427363901960535e-14,NaN,NaN,1.7659504225947497e-11,1.8738041031772326e-14,0.002,750.0,562.5,1.665018455891453e-14,1.665018455891453e-14,NaN,NaN,0.0
unity,0.0,1.0,pv_ld1446_load_c,b260,AverageVoltageVoltVarWatt,NoUnbalanceControl,GridCurrentTarget,LOCALLY_SOLVED,true,0.0,6000.0,6000.0,5.483336607255052e-10,6.183532810092445e-10,5.483336607255099e-10,6.183532810092501e-10,0.0,241.40717796558255,244.98237780752095,0.18930438373157826,243.64717827379675,2.3705818008628885,0.009729568048594284,0.0,0.0,0.0,0.0,-5.483336607255052e-10,0.9999999999999993,0.9999738085979717,6000.0,10.0,NaN,1.1606305193742748e-12,1.1606305193742748e-12,1.1606305193742748e-12,1.1606305193742748e-12,1.1606305193742747e-13,NaN,1.1309337405535767e-12,3.3358566707052175e-14,NaN,NaN,1.8347519126250534e-11,1.9468082937466942e-14,0.002,750.0,562.5,1.7298882704304772e-14,1.7298882704304772e-14,NaN,NaN,0.0
unity,0.0,1.0,pv_ld1668_load_a,b605,AverageVoltageVoltVarWatt,NoUnbalanceControl,GridCurrentTarget,LOCALLY_SOLVED,true,0.0,6000.0,6000.0,4.82044400833086e-10,6.085261691463844e-10,4.820444008330901e-10,6.085261691463897e-10,0.0,241.42440714299974,245.01059746969673,0.17244853414134953,243.68688643707313,2.37953305160211,0.00976471523106178,0.0,0.0,0.0,0.0,-4.82044400833086e-10,0.9999999999999993,0.9999738085979717,6000.0,10.0,NaN,1.0928893457378629e-12,1.0928893457378629e-12,1.0928893457378629e-12,1.0928893457378629e-12,1.0928893457378628e-13,NaN,1.0621869852603368e-12,3.371548277270664e-14,NaN,NaN,1.8450551201143635e-11,1.9577412767047537e-14,0.002,750.0,562.5,1.739603063119985e-14,1.739603063119985e-14,NaN,NaN,0.0
unity,0.0,1.0,pv_ld1895_load_b,b1804,AverageVoltageVoltVarWatt,NoUnbalanceControl,GridCurrentTarget,LOCALLY_SOLVED,true,0.0,6000.0,6000.0,6.939395988446667e-10,7.258956764109706e-10,6.939395988446725e-10,7.258956764109772e-10,0.0,241.3728901063257,244.9268879702655,0.23754334261843854,243.54861046509484,2.3272802318867223,0.009555711393476687,0.0,0.0,0.0,0.0,-6.939395988446667e-10,0.9999999999999993,0.9999738085979717,6000.0,10.0,NaN,1.425284011212362e-12,1.425284011212362e-12,1.425284011212362e-12,1.425284011212362e-12,1.4252840112123619e-13,NaN,1.3748697736085514e-12,4.9140800471058174e-14,NaN,NaN,2.705309672915901e-11,2.870494358719237e-14,0.002,750.0,562.5,2.5506540820867073e-14,2.5506540820867073e-14,NaN,NaN,0.0
unity,0.0,1.0,pv_ld1970_load_c,b2492,AverageVoltageVoltVarWatt,NoUnbalanceControl,GridCurrentTarget,LOCALLY_SOLVED,true,0.0,6000.0,6000.0,7.338352961877691e-10,7.28846797297828e-10,7.338352961877751e-10,7.288467972978347e-10,0.0,241.36201047069463,244.90912271574743,0.24751376924862425,243.52420590335873,2.3226979489955286,0.00953785247088447,0.0,0.0,0.0,0.0,-7.338352961877691e-10,0.9999999999999993,0.9999738085979717,6000.0,10.0,NaN,1.4661578434340972e-12,1.4661578434340972e-12,1.4661578434340972e-12,1.4661578434340972e-12,1.4661578434340972e-13,NaN,1.4161274510105884e-12,4.8979232958615804e-14,NaN,NaN,2.691391955618119e-11,2.855727856557823e-14,0.002,750.0,562.5,2.5375329139848617e-14,2.5375329139848617e-14,NaN,NaN,0.0
unity,0.0,1.0,pv_ld2050_load_a,b1821,AverageVoltageVoltVarWatt,NoUnbalanceControl,GridCurrentTarget,LOCALLY_SOLVED,true,0.0,6000.0,6000.0,6.675774268567694e-10,6.981157968234274e-10,6.67577426856775e-10,6.981157968234339e-10,0.0,241.37876517752167,244.93708277766,0.22743303987098532,243.56811785057505,2.337540456969376,0.009597070739789588,0.0,0.0,0.0,0.0,-6.675774268567694e-10,0.9999999999999993,0.9999738085979717,6000.0,10.0,NaN,1.3661195995826183e-12,1.3661195995826183e-12,1.3661195995826183e-12,1.3661195995826183e-12,1.3661195995826182e-13,NaN,1.3222928616029043e-12,4.369369237692924e-14,NaN,NaN,2.3701762172463337e-11,2.5149090183153574e-14,0.002,750.0,562.5,2.234689273698781e-14,2.234689273698781e-14,NaN,NaN,0.0
unity,0.0,1.0,pv_ld2186_load_b,b1754,AverageVoltageVoltVarWatt,NoUnbalanceControl,GridCurrentTarget,LOCALLY_SOLVED,true,0.0,6000.0,6000.0,7.413275022881078e-10,7.396671769590937e-10,7.41327502288114e-10,7.396671769591004e-10,0.0,241.36053175002044,244.9085252757516,0.25034472042873923,243.51987554970478,2.319400923957322,0.009524483037459133,0.0,0.0,0.0,0.0,-7.413275022881078e-10,0.9999999999999993,0.9999738085979717,6000.0,10.0,NaN,1.4849522437202968e-12,1.4849522437202968e-12,1.4849522437202968e-12,1.4849522437202968e-12,1.4849522437202968e-13,NaN,1.4338793454668265e-12,4.959212908603029e-14,NaN,NaN,2.712590397650685e-11,2.878219288568815e-14,0.002,750.0,562.5,2.557518273892139e-14,2.557518273892139e-14,NaN,NaN,0.0
unity,0.0,1.0,pv_ld248_load_b,b2560,AverageVoltageVoltVarWatt,NoUnbalanceControl,GridCurrentTarget,LOCALLY_SOLVED,true,0.0,6000.0,6000.0,5.205730284404022e-10,6.16292110992703e-10,5.205730284404064e-10,6.162921109927084e-10,0.0,241.4146815247691,244.9948056504148,0.18228056266246825,243.6641040064121,2.373903571912323,0.0097425247825993,0.0,0.0,0.0,0.0,-5.205730284404022e-10,0.9999999999999993,0.9999738085979717,6000.0,10.0,NaN,1.1339765467383659e-12,1.1339765467383659e-12,1.1339765467383659e-12,1.1339765467383659e-12,1.1339765467383659e-13,NaN,1.10387657253856e-12,3.331688630941798e-14,NaN,NaN,1.8181856003039725e-11,1.9292313929782455e-14,0.002,750.0,562.5,1.714269847924509e-14,1.714269847924509e-14,NaN,NaN,0.0
unity,0.0,1.0,pv_ld24_load_a,b1044,AverageVoltageVoltVarWatt,NoUnbalanceControl,GridCurrentTarget,LOCALLY_SOLVED,true,0.0,6000.0,6000.0,6.311361471539783e-10,6.822250698492259e-10,6.311361471539835e-10,6.822250698492321e-10,0.0,241.38777659709885,244.9504656642073,0.21710516870223953,243.59034176420352,2.344994254175291,0.00962679487697117,0.0,0.0,0.0,0.0,-6.311361471539783e-10,0.9999999999999993,0.9999738085979717,6000.0,10.0,NaN,1.3146908725572846e-12,1.3146908725572846e-12,1.3146908725572846e-12,1.3146908725572846e-12,1.3146908725572845e-13,NaN,1.2721589243027985e-12,4.2831542441276666e-14,NaN,NaN,2.3389362674944192e-11,2.4817630032771705e-14,0.002,750.0,562.5,2.2052365007625608e-14,2.2052365007625608e-14,NaN,NaN,0.0
unity,0.0,1.0,pv_ld2804_load_c,b2443,AverageVoltageVoltVarWatt,NoUnbalanceControl,GridCurrentTarget,LOCALLY_SOLVED,true,0.0,6000.0,6000.0,6.443278078791736e-10,6.832022938474726e-10,6.44327807879179e-10,6.832022938474789e-10,0.0,241.38419261055031,244.94458023602314,0.2204157580698154,243.5822837270812,2.3434523305603525,0.009620783148523417,0.0,0.0,0.0,0.0,-6.443278078791736e-10,0.9999999999999993,0.9999738085979717,6000.0,10.0,NaN,1.3278833727446896e-12,1.3278833727446896e-12,1.3278833727446896e-12,1.3278833727446896e-12,1.3278833727446897e-13,NaN,1.2854973095624112e-12,4.279884072087605e-14,NaN,NaN,2.337791647394132e-11,2.480548653015904e-14,0.002,750.0,562.5,2.2041574575512152e-14,2.2041574575512152e-14,NaN,NaN,0.0
